0201000912Srikakulam                  
0204113912   249094   239217   221830   212347
0204114912   842372   795313   568222   534180
0204115912    54454    44274    36973    30247
0204116912   525375   264004   455633   225974
0204117912    43095    31464    41275    30102
0204118912     3889     1805     2810     1302
0204119912    87958    38229    80867    34155
0204120912    18120     6567    16504     6173
0204121912   137602    67796   121030    58441
0204122912    50460    16880    49734    16674
0204123912   184251   101263   143413    79127
0204124912    76082    71649     7308     6410
0204125912  2793845  2045961   982996   723139
0204126912  1747377  1414457  1289966  1009158
0204139912  2869927  2117610   990304   729549
0204140912  1854359  1249245  1051869   715625
0204141912   216800   159780   110520    81270
0204142912   349765   250128   180425   129198
0204143912   268745   181347   142102    97387
0204144912   212282   136789   117750    76830
0204145912   175414   112950    97681    64350
0204146912   140422    90180    84098    55230
0204147912   395491   253521   255053   166480
0204148912    76890    51290    54160    37810
0204149912    18550    13260    10080     7070
0204151912  1297421   825485   761621   493035
0204152912   608649   329816   408311   230795
0204153912   374721   179770   265547   134570
0204154912   102600    38290    79080    31740
0204155912   100990    37020    77690    30610
0204156912    89030    32370    67070    26240
0204160912   494330   387770   247690   194370
0204161912   606727   475138   305953   238941
0204162912   515829   392738   259789   197758
0204163912   438952   325367   218922   163467
0204164912   400548   293479   191969   139630
0204165912   390034   290140   186893   139860
0204166912   325850   245101   168790   127041
0204167912   301183   224450   153522   113720
0204168912   245467   186965   131156    99150
0204169912   206830   157430   103600    78370
0204170912   195370   152550    99150    77440
0204171912   112628    87300    54088    41780
0204172912   141042   111550    69670    55970
0204173912    56230    44540    27650    22070
0204174912    55984    44870    27320    22310
0204175912    13770    10560     6630     5240
0204176912    15454    12138     7287     5811
0204177912     2810     2181     1194     1017
0204178912     2498     1977     1154      925
0204179912      646      484      265      197
0204180912    19040    13690    10270     7230
0204181912     9970     7560     5310     4040
0204182912   234935   162898   122755    86198
0204183912   234805   154177   126372    84707
0204184912   181486   112519   103260    65100
0204185912   144794    88940    82021    51740
0204186912   114628    69850    69468    43400
0204187912   316713   191451   209115   129070
0204188912    57790    36630    42130    28020
0204189912     2300     1460     1190      760
0204190912   360250   279370   182090   140290
0204192912     2860     1530     1480      870
0204193912    86020    46440    52090    30580
0204194912    80557    41690    53010    29230
0204195912    56072    27290    38522    20350
0204196912    40350    18030    29310    14110
0204197912    96642    40430    80195    35420
0204198912    11580     4090    10600     3890
0204199912      640      270      340      120
0204200912   826057   693974   414038   348158
0204250912   176083   168137    88270    83935
0204300912  1511032  1073032   505494   312327
0204301912   255570   113673   102401    36710
0204302912    25474     9160    12582     3890
0204303912   261922   119222   104244    41473
0204304912  1246338   952810   399859   270304
0204305912   160900    85606    62447    26553
0204306912    10544     4579     5567     2086
0204307912     1770      340      910      250
0204308912      320      240      140       90
0204309912       60       30       40       20
0204310912      590      380      290      190
0204311912       30       10       10        0
0204315912    70720    62700    51160    44650
0204316912    75970    67580    52910    46250
0204332912    65061    25909    32795    12903
0204340912  2106656  1589893  1158789   874416
0204341912   502899   382058   255319   194218
0204342912   321335   230357   206632   153367
0204343912   120055    76210    98915    65590
0204344912    26290    14860    21760    12720
0204345912     6550     3730     5010     3080
0204346912     3160     1980     2330     1540
0204347912     2290     1360     1760     1090
0204348912     1280      810     1010      660
0204349912     1000      700      800      610
0204350912      670      460      520      350
0204351912      740      500      490      370
0204352912      310      190      230      150
0204353912      270      180      170      110
0204354912       50       40       40       30
0204355912      380      300      240      180
0204359912    18320    13250     9920     7040
0204360912   240869   185080    36733    29930
0204361912      100       80       20       10
0204362912      440      380       10       10
0204363912     2010     1640      200      140
0204364912     4330     3560      440      300
0204365912     6900     5300     1010      820
0204366912     9483     6950     1253     1010
0204367912    16072    12210     2260     1790
0204368912    19780    14480     2430     4070
0204369912    38090    29430     5220     4320
0204370912    23120    17290     3490     2900
0204371912    51112    39690     7600     6310
0204372912    21380    16630     3530     2930
0204373912    28184    22320     4960     4000
0204374912     7040    19420     1410     1100
0204375912    12758     9870     2900     2320
0204379912       70       50        0        0
0204380912    19310    14830     4760     3670
0204381912      110       90       30       30
0204382912     1200     1010       50       40
0204383912     2410     1870      270      180
0204384912     3100     2430      450      390
0204385912     2720     2040      620      500
0204386912     2170     1640      540      350
0204387912     2040     1560      600      460
0204388912     1430     1110      500     1920
0204389912     1750     1330      580      490
0204390912      610      480      240      190
0204391912      830      590      350      230
0204392912      330      240      160      130
0204393912      320      270      190      160
0204394912       70       40       40       20
0204395912      210      130      140      110
0204399912       10        0        0        0
0204415912    23025    12727    15383     9732
0204600912   713747   692330
0204601912   919842   712117
0204602912  1042877   800666
0204607912    52605    39895
